Patch Size,Stride,Threshold,PSNR
8,1,1,16.613520008666754
8,1,2,11.752501221094374
8,1,5,8.563122236806054
8,2,1,16.60151761273925
8,2,2,11.748478600264757
8,2,5,8.563122236806054
8,3,1,16.50703994235972
8,3,2,11.735016863465793
8,3,5,8.563122236806054
16,1,1,18.82354658061072
16,1,2,15.865628614424343
16,1,5,9.946689520251715
16,2,1,18.822623271331274
16,2,2,15.864286678489519
16,2,5,9.945837757742256
16,3,1,18.762765673275645
16,3,2,15.83959381867026
16,3,5,9.94540082089682
28,1,1,19.158718206533184
28,1,2,17.28745052474244
28,1,5,13.409333126711015
28,2,1,19.16049190069466
28,2,2,17.288935821089158
28,2,5,13.409268774213515
28,3,1,19.08644840037681
28,3,2,17.24260820191396
28,3,5,13.395200679923214
